[01:41:11:712161 +02:00] [Thread 4964] PLAYER: ( 76561198207815415 ) R DarkV:1 (marvi (2)) REMOTE PURCHASED ITEM Exile_Item_Noodles FOR 14 POPTABS | PLAYER TOTAL MONEY: 51
[01:41:12:633584 +02:00] [Thread 8644] PLAYER: ( 76561198207815415 ) R DarkV:1 (marvi (2)) REMOTE PURCHASED ITEM Exile_Item_Noodles FOR 14 POPTABS | PLAYER TOTAL MONEY: 37
[01:41:13:381148 +02:00] [Thread 4964] PLAYER: ( 76561198207815415 ) R DarkV:1 (marvi (2)) REMOTE PURCHASED ITEM Exile_Item_Noodles FOR 14 POPTABS | PLAYER TOTAL MONEY: 23
[01:41:14:283213 +02:00] [Thread 8644] PLAYER: ( 76561198207815415 ) R DarkV:1 (marvi (2)) REMOTE PURCHASED ITEM Exile_Item_Noodles FOR 14 POPTABS | PLAYER TOTAL MONEY: 9
[02:21:22:310194 +02:00] [Thread 4964] PLAYER: ( 76561198191441767 ) R DarkV:2 (marvi) REMOTE SOLD ITEM: Exile_Car_Ural_Covered_Worker (ID# <null>) with Cargo ["B_Carryall_cbr","B_Carryall_oli","B_Bergen_rgr","B_Kitbag_mcamo","B_Carryall_mcamo","B_FieldPack_cbr","B_Carryall_oli","Exile_Item_Matches","Exile_Item_Matches","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","20Rnd_762x51_Mag","20Rnd_762x51_Mag","20Rnd_762x51_Mag","30Rnd_65x39_caseless_black_mag","30Rnd_65x39_caseless_black_mag","30Rnd_65x39_caseless_black_mag","30Rnd_65x39_caseless_black_mag","Exile_Magazine_6Rnd_45ACP","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","30Rnd_556x45_Stanag","hgun_Pistol_heavy_02_F","6Rnd_45ACP_Cylinder","srifle_GM6_F","optic_DMS","5Rnd_127x108_Mag","srifle_DMR_05_blk_F","optic_LRPS","10Rnd_93x64_DMR_05_Mag","bipod_02_F_tan","arifle_Katiba_GL_F","optic_MRCO","30Rnd_65x39_caseless_green","hgun_Pistol_heavy_01_F","11Rnd_45ACP_Mag","arifle_TRG21_F","optic_DMS","30Rnd_556x45_Stanag","Exile_Weapon_SVD","Exile_Magazine_10Rnd_762x54","arifle_MX_Black_F","srifle_DMR_06_olive_F","20Rnd_762x51_Mag","arifle_Mk20_F","optic_Hamr","30Rnd_556x45_Stanag","Exile_Weapon_TaurusGold","Exile_Magazine_6Rnd_45ACP","Exile_Weapon_AK74_GL","Exile_Magazine_30Rnd_545x39_AK","bipod_03_F_oli","Exile_Weapon_TaurusGold","Exile_Magazine_6Rnd_45ACP","hgun_Pistol_heavy_01_F","11Rnd_45ACP_Mag","arifle_TRG20_F","optic_Holosight","30Rnd_556x45_Stanag","H_HelmetLeaderO_ocamo","H_HelmetIA_camo","V_PlateCarrierL_CTRG","V_PlateCarrierGL_mtp","U_BG_Guerilla3_1","V_PlateCarrierH_CTRG","U_O_CombatUniform_ocamo","V_PlateCarrierGL_rgr","U_BG_Guerilla2_3","V_PlateCarrierSpec_rgr","U_I_GhillieSuit"] FOR 5452 POPTABS AND 545.2 RESPECT | PLAYER TOTAL MONEY: 9927
[02:23:29:021518 +02:00] [Thread 4964] PLAYER: ( 76561198191441767 ) R DarkV:2 (marvi) REMOTE SOLD ITEM: Exile_Car_Ural_Covered_Worker (ID# <null>) with Cargo ["B_ViperLightHarness_ghex_F","30Rnd_556x45_Stanag"] FOR 14110 POPTABS AND 1411 RESPECT | PLAYER TOTAL MONEY: 24037
[02:47:50:511840 +02:00] [Thread 3256] PLAYER: ( 76561198191441767 ) R DarkV:2 (marvi) REMOTE SOLD ITEM: Exile_Chopper_Huey_Armed_Green (ID# 11) with Cargo ["B_Bergen_blk","B_Bergen_rgr","Exile_Item_WoodDoorKit","Exile_Item_WoodFloorKit","Exile_Item_WoodSupportKit","Exile_Item_WoodSupportKit","Exile_Item_WoodDoorwayKit","Exile_Item_WoodWallHalfKit","Exile_Item_WoodFloorPortKit","Exile_Item_WoodStairsKit","Exile_Item_WoodWallKit","Exile_Item_WoodStairsKit","Exile_Item_PlasticBottleEmpty","Exile_Item_PlasticBottleEmpty","Exile_Item_PlasticBottleEmpty","V_PlateCarrierIA2_dgtl","V_PlateCarrierL_CTRG","U_BG_Guerilla3_1","U_O_CombatUniform_ocamo","U_B_CTRG_Soldier_2_F"] FOR 366 POPTABS AND 36.6 RESPECT | PLAYER TOTAL MONEY: 366
[02:55:39:383271 +02:00] [Thread 8644] PLAYER: ( 76561198207815415 ) R DarkV:1 (marvi (2)) REMOTE SOLD ITEM: Exile_Car_Ural_Covered_Yellow (ID# <null>) with Cargo ["Exile_Magazine_30Rnd_545x39_AK","Exile_Magazine_30Rnd_545x39_AK","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","Exile_Magazine_6Rnd_45ACP","Exile_Magazine_30Rnd_762x39_AK","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","Exile_Item_Bandage","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","Exile_Magazine_30Rnd_545x39_AK","16Rnd_9x21_Mag","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","16Rnd_9x21_Mag","150Rnd_93x64_Mag","6Rnd_45ACP_Cylinder","150Rnd_93x64_Mag","Exile_Magazine_30Rnd_545x39_AK","Exile_Magazine_30Rnd_545x39_AK","Exile_Magazine_30Rnd_545x39_AK","Exile_Magazine_30Rnd_545x39_AK","16Rnd_9x21_Mag","Exile_Magazine_30Rnd_762x39_AK","Exile_Magazine_30Rnd_762x39_AK","Exile_Magazine_30Rnd_762x39_AK","9Rnd_45ACP_Mag","6Rnd_45ACP_Cylinder","6Rnd_45ACP_Cylinder","6Rnd_45ACP_Cylinder","6Rnd_45ACP_Cylinder","130Rnd_338_Mag","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","30Rnd_65x39_caseless_green","130Rnd_338_Mag","130Rnd_338_Mag","Exile_Item_Bandage","130Rnd_338_Mag","130Rnd_338_Mag","150Rnd_93x64_Mag","150Rnd_93x64_Mag","150Rnd_93x64_Mag","Exile_Magazine_30Rnd_762x39_AK","Exile_Magazine_30Rnd_762x39_AK","Exile_Magazine_30Rnd_762x39_AK","Exile_Magazine_30Rnd_762x39_AK","Exile_Magazine_30Rnd_762x39_AK","Exile_Magazine_30Rnd_762x39_AK","Exile_Magazine_30Rnd_762x39_AK","Exile_Weapon_AK74_GL","optic_Aco","Exile_Magazine_30Rnd_545x39_AK","Exile_Weapon_TaurusGold","Exile_Magazine_6Rnd_45ACP","hgun_P07_F","16Rnd_9x21_Mag","hgun_Pistol_heavy_01_F","11Rnd_45ACP_Mag","hgun_Pistol_heavy_02_F","6Rnd_45ACP_Cylinder","Exile_Weapon_Makarov","Exile_Magazine_8Rnd_9x18","arifle_Mk20_F","optic_Arco","30Rnd_556x45_Stanag","arifle_Katiba_GL_F","optic_Holosight","30Rnd_65x39_caseless_green","Exile_Weapon_AK74_GL","optic_MRCO","Exile_Magazine_30Rnd_545x39_AK","Exile_Weapon_Makarov","Exile_Magazine_8Rnd_9x18","hgun_ACPC2_F","9Rnd_45ACP_Mag","MMG_01_hex_F","150Rnd_93x64_Mag","MMG_02_black_F","130Rnd_338_Mag","arifle_Katiba_F","optic_Hamr","30Rnd_65x39_caseless_green","hgun_Rook40_F","16Rnd_9x21_Mag","Rangefinder","MMG_02_sand_F","130Rnd_338_Mag","hgun_Pistol_heavy_02_F","MMG_01_tan_F","150Rnd_93x64_Mag","Exile_Weapon_AK47","optic_Hamr","Exile_Magazine_30Rnd_762x39_AK","bipod_01_F_snd","hgun_ACPC2_F","9Rnd_45ACP_Mag","Exile_Weapon_AK47","optic_DMS","Exile_Magazine_30Rnd_762x39_AK","bipod_02_F_hex","ItemMap","ItemMap","ItemMap","ItemCompass","ItemCompass","ItemCompass","ItemWatch","ItemWatch","ItemWatch","ItemRadio","ItemRadio","ItemRadio","ItemGPS","ItemGPS","ItemGPS","H_HelmetLeaderO_oucamo"] FOR 18513 POPTABS AND 1851.3 RESPECT | PLAYER TOTAL MONEY: 18522
[03:02:07:785239 +02:00] [Thread 3256] PLAYER: ( 76561198191441767 ) R DarkV:2 (marvi) REMOTE SOLD ITEM: Exile_Chopper_Huey_Armed_Green (ID# 11) with Cargo ["30Rnd_9x21_Mag","30Rnd_9x21_Mag","30Rnd_9x21_Mag","20Rnd_762x51_Mag","20Rnd_762x51_Mag","20Rnd_762x51_Mag","20Rnd_762x51_Mag","7Rnd_408_Mag","7Rnd_408_Mag","srifle_EBR_F","20Rnd_762x51_Mag","srifle_LRR_F","7Rnd_408_Mag","Exile_Weapon_RPK","optic_Aco","Exile_Magazine_45Rnd_545x39_RPK_Green","bipod_03_F_blk","arifle_Mk20_GL_F","optic_Holosight","30Rnd_556x45_Stanag","Exile_Weapon_TaurusGold","Exile_Magazine_6Rnd_45ACP","Exile_Weapon_AK107","optic_Hamr","Exile_Magazine_30Rnd_545x39_AK","Exile_Weapon_DMR","optic_DMS","Exile_Magazine_20Rnd_762x51_DMR","bipod_03_F_blk","optic_MRCO","muzzle_snds_L","acc_pointer_IR","muzzle_snds_B"] FOR 2040 POPTABS AND 204 RESPECT | PLAYER TOTAL MONEY: 2406
[03:07:06:198673 +02:00] [Thread 896] PLAYER: ( 76561198191441767 ) R DarkV:2 (marvi) REMOTE PURCHASED VEHICLE Exile_Chopper_Huey_Green FOR 21000 POPTABS | PLAYER TOTAL MONEY: 5443
